!{"Time":7,"AccX":0,"AccY":0,"AccZ":0,"GyroX":0,"GyroY":0,"GyroZ":0}
{"Time":93,"AccX":0.52246092,"AccY":1.4394531,"AccZ":0.70312496,"GyroX":0.670731712,"GyroY":0.609756096,"GyroZ":0.792682944}
{"Time":240,"AccX":0.546875,"AccY":1.4882812,"AccZ":0.625,"GyroX":0.792682944,"GyroY":0.42682928,"GyroZ":0.85365856}
{"Time":379,"AccX":0.4638672,"AccY":1.3417968,"AccZ":0.67382816,"GyroX":0.85365856,"GyroY":0.731707328,"GyroZ":0.85365856}
{"Time":526,"AccX":0.58105468,"AccY":1.9277344,"AccZ":0.70312496,"GyroX":0.731707328,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":673,"AccX":0.5419922,"AccY":1.15625,"AccZ":0.66406248,"GyroX":0.670731712,"GyroY":0.792682944,"GyroZ":0.792682944}
{"Time":819,"AccX":0.53222656,"AccY":1.4882812,"AccZ":0.63964844,"GyroX":0.487804896,"GyroY":0.243902448,"GyroZ":0.670731712}
{"Time":967,"AccX":0.59570312,"AccY":1.6347656,"AccZ":0.70312496,"GyroX":0.914634176,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":1116,"AccX":0.6201172,"AccY":1.1171875,"AccZ":0.5517578,"GyroX":0.487804896,"GyroY":0.487804896,"GyroZ":-1.97561}
{"Time":1260,"AccX":0.106933592,"AccY":0.996582016,"AccZ":0.390625,"GyroX":0.792682944,"GyroY":-2.378048896,"GyroZ":-1.219512224}
{"Time":1413,"AccX":0.625,"AccY":1.1464843,"AccZ":0.68847656,"GyroX":0.85365856,"GyroY":0.42682928,"GyroZ":0.975609792}
{"Time":1556,"AccX":0.46875,"AccY":1.1464843,"AccZ":0.63964844,"GyroX":0.914634176,"GyroY":0.487804896,"GyroZ":0.914634176}
{"Time":1702,"AccX":0.6201172,"AccY":1.10742188,"AccZ":0.58105468,"GyroX":0.670731712,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":1852,"AccX":0.60546876,"AccY":1.390625,"AccZ":0.6201172,"GyroX":0.42682928,"GyroY":0.42682928,"GyroZ":0.914634176}
{"Time":1998,"AccX":0.50292968,"AccY":1.11230469,"AccZ":0.67871096,"GyroX":0.670731712,"GyroY":0.609756096,"GyroZ":0.85365856}
{"Time":2148,"AccX":0.58105468,"AccY":1.4882812,"AccZ":0.68359376,"GyroX":0.54878048,"GyroY":0.731707328,"GyroZ":0.792682944}
{"Time":2296,"AccX":0.42480468,"AccY":1.1171875,"AccZ":0.68359376,"GyroX":0.54878048,"GyroY":0.914634176,"GyroZ":0.914634176}
{"Time":2445,"AccX":0.50292968,"AccY":1.8789062,"AccZ":0.61523436,"GyroX":0.792682944,"GyroY":0.54878048,"GyroZ":0.54878048}
{"Time":2593,"AccX":0.546875,"AccY":1.10253906,"AccZ":0.56152344,"GyroX":0.792682944,"GyroY":0.487804896,"GyroZ":0.914634176}
{"Time":2742,"AccX":0.55664064,"AccY":0.998535168,"AccZ":0.546875,"GyroX":0.731707328,"GyroY":0.609756096,"GyroZ":-1.36585332}
{"Time":2891,"AccX":0.4736328,"AccY":1,"AccZ":0.60058592,"GyroX":0.670731712,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":3031,"AccX":0.57617188,"AccY":1,"AccZ":0.74218752,"GyroX":0.670731712,"GyroY":0.609756096,"GyroZ":0.792682944}
{"Time":3172,"AccX":0.95703128,"AccY":0.999023424,"AccZ":0.81054688,"GyroX":0.243902448,"GyroY":0.731707328,"GyroZ":0.792682944}
{"Time":3323,"AccX":0.51757812,"AccY":0.99609376,"AccZ":0.49804688,"GyroX":0.609756096,"GyroY":0.54878048,"GyroZ":0.975609792}
{"Time":3474,"AccX":0.44921876,"AccY":1.4394531,"AccZ":0.66894532,"GyroX":0.365853664,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":3623,"AccX":0.60546876,"AccY":1.2441406,"AccZ":0.73242184,"GyroX":0.792682944,"GyroY":0.365853664,"GyroZ":0.792682944}
{"Time":3773,"AccX":0.57617188,"AccY":1.6835937,"AccZ":0.67382816,"GyroX":0.670731712,"GyroY":0.731707328,"GyroZ":0.975609792}
{"Time":3923,"AccX":0.58593752,"AccY":1.488281,"AccZ":0.72265624,"GyroX":0.670731712,"GyroY":0.609756096,"GyroZ":0.914634176}
{"Time":4072,"AccX":0.51757812,"AccY":1.6347656,"AccZ":0.70312496,"GyroX":0.670731712,"GyroY":0.487804896,"GyroZ":0.731707328}
{"Time":4221,"AccX":0.49316408,"AccY":1.3417968,"AccZ":0.67871096,"GyroX":0.792682944,"GyroY":0.731707328,"GyroZ":0.914634176}
{"Time":4371,"AccX":0.41503908,"AccY":0.999023424,"AccZ":0.69824216,"GyroX":0.670731712,"GyroY":0.670731712,"GyroZ":0.914634176}
{"Time":4524,"AccX":0.56152344,"AccY":1.1953125,"AccZ":0.67871096,"GyroX":0.609756096,"GyroY":0.487804896,"GyroZ":0.975609792}
{"Time":4673,"AccX":0.625,"AccY":1.8789062,"AccZ":0.67382816,"GyroX":0.609756096,"GyroY":0.609756096,"GyroZ":0.731707328}
{"Time":4817,"AccX":0.5517578,"AccY":1.488281,"AccZ":0.64941408,"GyroX":0.609756096,"GyroY":0.487804896,"GyroZ":0.85365856}
{"Time":4964,"AccX":0.6298828,"AccY":1.10742188,"AccZ":0.67871096,"GyroX":0.609756096,"GyroY":0.487804896,"GyroZ":0.914634176}
